,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
104,8192,0.0,101202,2.142269199975999,"[0, 0, 0, 0, 0]",100,0.7000000000000001,8192
105,0,4.0,100,0.0005837999924551696,"[1, 0, 1, 1, 0]",100,0.8,8192
106,1,0.0,202,0.024493000004440546,"[0, 0, 0, 0, 0]",100,0.8,8192
107,2,0.0,303,0.0481224000104703,"[0, 0, 0, 0, 0]",100,0.8,8192
108,4,0.0,505,0.07335769999190234,"[0, 0, 0, 0, 0]",100,0.8,8192
109,8,0.0,909,0.10407309999573044,"[0, 0, 0, 0, 0]",100,0.8,8192
110,16,0.0,1717,0.14392420000513084,"[0, 0, 0, 0, 0]",100,0.8,8192
111,32,0.0,3333,0.19371429999591783,"[0, 0, 0, 0, 0]",100,0.8,8192
112,64,0.0,6565,0.27639760001329705,"[0, 0, 0, 0, 0]",100,0.8,8192
113,128,0.0,13029,0.41799250000622123,"[0, 0, 0, 0, 0]",100,0.8,8192
114,256,0.0,25957,0.6878670000005513,"[0, 0, 0, 0, 0]",100,0.8,8192
115,512,0.0,51813,1.2150685999949928,"[0, 0, 0, 0, 0]",100,0.8,8192
116,1024,0.0,101202,2.2166337000089698,"[0, 0, 0, 0, 0]",100,0.8,8192
117,2048,0.0,101202,2.2166337000089698,"[0, 0, 0, 0, 0]",100,0.8,8192
118,4096,0.0,101202,2.2166337000089698,"[0, 0, 0, 0, 0]",100,0.8,8192
119,8192,0.0,101202,2.2166337000089698,"[0, 0, 0, 0, 0]",100,0.8,8192
120,0,4.0,100,0.0005936999805271626,"[1, 1, 0, 1, 0]",100,0.9,8192
121,1,0.0,202,0.02833269999246113,"[0, 0, 0, 0, 0]",100,0.9,8192
122,2,0.0,303,0.05505809999885969,"[0, 0, 0, 0, 0]",100,0.9,8192
123,4,0.0,505,0.08364259998779744,"[0, 0, 0, 0, 0]",100,0.9,8192
124,8,0.0,909,0.11697659999481402,"[0, 0, 0, 0, 0]",100,0.9,8192
125,16,0.0,1717,0.15758369999821298,"[0, 0, 0, 0, 0]",100,0.9,8192
126,32,0.0,3333,0.21313049999298528,"[0, 0, 0, 0, 0]",100,0.9,8192
127,64,0.0,6565,0.2991174999915529,"[0, 0, 0, 0, 0]",100,0.9,8192
128,128,0.0,13029,0.4464739999966696,"[0, 0, 0, 0, 0]",100,0.9,8192
129,256,0.0,25957,0.7245917999825906,"[0, 0, 0, 0, 0]",100,0.9,8192
130,512,0.0,51813,1.2563056999933906,"[0, 0, 0, 0, 0]",100,0.9,8192
131,1024,0.0,101202,2.2772436999948695,"[0, 0, 0, 0, 0]",100,0.9,8192
132,2048,0.0,101202,2.2772436999948695,"[0, 0, 0, 0, 0]",100,0.9,8192
133,4096,0.0,101202,2.2772436999948695,"[0, 0, 0, 0, 0]",100,0.9,8192
134,8192,0.0,101202,2.2772436999948695,"[0, 0, 0, 0, 0]",100,0.9,8192
135,0,4.0,200,0.0013942999939899892,"[0, 0, 1, 1, 0]",200,0.1,8192
136,1,0.0,402,0.03291939999326132,"[0, 0, 0, 0, 0]",200,0.1,8192
137,2,0.0,603,0.06341500001144595,"[0, 0, 0, 0, 0]",200,0.1,8192
138,4,0.0,1005,0.09814570000162348,"[0, 0, 0, 0, 0]",200,0.1,8192
139,8,0.0,1809,0.13888730001053773,"[0, 0, 0, 0, 0]",200,0.1,8192
140,16,0.0,3417,0.1942861000134144,"[0, 0, 0, 0, 0]",200,0.1,8192
141,32,0.0,6633,0.2770209000154864,"[0, 0, 0, 0, 0]",200,0.1,8192
142,64,0.0,13065,0.4180066999979317,"[0, 0, 0, 0, 0]",200,0.1,8192
143,128,0.0,25929,0.676808100019116,"[0, 0, 0, 0, 0]",200,0.1,8192
144,256,0.0,51657,1.1648902000160888,"[0, 0, 0, 0, 0]",200,0.1,8192
145,512,0.0,103113,2.1154086000169627,"[0, 0, 0, 0, 0]",200,0.1,8192
146,1024,0.0,201402,3.9040368999994826,"[0, 0, 0, 0, 0]",200,0.1,8192
147,2048,0.0,201402,3.9040368999994826,"[0, 0, 0, 0, 0]",200,0.1,8192
148,4096,0.0,201402,3.9040368999994826,"[0, 0, 0, 0, 0]",200,0.1,8192
149,8192,0.0,201402,3.9040368999994826,"[0, 0, 0, 0, 0]",200,0.1,8192
150,0,3.0,200,0.0011534000223036855,"[1, 1, 0, 1, 1]",200,0.2,8192
151,1,0.0,402,0.03420449999975972,"[1, 1, 1, 1, 1]",200,0.2,8192
152,2,0.0,603,0.06870990002062172,"[1, 1, 1, 1, 1]",200,0.2,8192
153,4,0.0,1005,0.10414800001308322,"[1, 1, 1, 1, 1]",200,0.2,8192
154,8,0.0,1809,0.1482663000060711,"[1, 1, 1, 1, 1]",200,0.2,8192
155,16,0.0,3417,0.20605540001997724,"[1, 1, 1, 1, 1]",200,0.2,8192
156,32,0.0,6633,0.29417050001211464,"[1, 1, 1, 1, 1]",200,0.2,8192
157,64,0.0,13065,0.4361028000130318,"[1, 1, 1, 1, 1]",200,0.2,8192
158,128,0.0,25929,0.6971962000243366,"[1, 1, 1, 1, 1]",200,0.2,8192
159,256,0.0,51657,1.1790376999997534,"[1, 1, 1, 1, 1]",200,0.2,8192
160,512,0.0,103113,2.124304500001017,"[1, 1, 1, 1, 1]",200,0.2,8192
161,1024,0.0,201402,3.929875900008483,"[1, 1, 1, 1, 1]",200,0.2,8192
162,2048,0.0,201402,3.929875900008483,"[1, 1, 1, 1, 1]",200,0.2,8192
163,4096,0.0,201402,3.929875900008483,"[1, 1, 1, 1, 1]",200,0.2,8192
164,8192,0.0,201402,3.929875900008483,"[1, 1, 1, 1, 1]",200,0.2,8192
165,0,3.0,200,0.0011140999849885702,"[1, 1, 0, 0, 0]",200,0.30000000000000004,8192
166,1,0.0,402,0.03782810000120662,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
167,2,0.0,603,0.07593960000667721,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
168,4,0.0,1005,0.11509869998553768,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
169,8,0.0,1809,0.162845799990464,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
170,16,0.0,3417,0.22282019999693148,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
171,32,0.0,6633,0.31203430000459775,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
172,64,0.0,13065,0.4584935999882873,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
173,128,0.0,25929,0.7166824000014458,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
174,256,0.0,51657,1.208627499989234,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
175,512,0.0,103113,2.164731600001687,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
176,1024,0.0,201402,3.9712940999888815,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
177,2048,0.0,201402,3.9712940999888815,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
178,4096,0.0,201402,3.9712940999888815,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
179,8192,0.0,201402,3.9712940999888815,"[0, 0, 0, 0, 0]",200,0.30000000000000004,8192
180,0,4.0,200,0.0011786999821197242,"[0, 1, 0, 1, 0]",200,0.4,8192
181,1,0.0,402,0.040781999996397644,"[0, 0, 0, 0, 0]",200,0.4,8192
182,2,0.0,603,0.07867170000099577,"[0, 0, 0, 0, 0]",200,0.4,8192
183,4,0.0,1005,0.1222107999783475,"[0, 0, 0, 0, 0]",200,0.4,8192
184,8,0.0,1809,0.17296889997669496,"[0, 0, 0, 0, 0]",200,0.4,8192
185,16,0.0,3417,0.23654749998240732,"[0, 0, 0, 0, 0]",200,0.4,8192
